Temp,Vic Row,HC,Itr
50,1024,293000,0
50,1025,45000,0
50,1026,53000,0
50,1027,263000,0
50,1028,316000,0
50,1029,43000,0
50,1030,286000,0
50,1031,280000,0
50,1032,51000,0
50,1033,47000,0
50,1034,339000,0
50,1035,56000,0
50,1036,310000,0
50,1037,266000,0
50,1038,306000,0
50,1039,257000,0
50,1040,300000,0
50,1041,49000,0
50,1042,285000,0
50,1043,262000,0
50,1044,292000,0
50,1045,253000,0
50,1046,293000,0
50,1047,253000,0
50,1048,306000,0
50,1049,287000,0
50,1050,281000,0
50,1051,282000,0
50,1052,297000,0
50,1053,271000,0
50,1054,279000,0
50,1055,270000,0
50,1056,283000,0
50,1057,301000,0
50,1058,296000,0
50,1059,280000,0
50,1060,291000,0
50,1061,283000,0
50,1062,293000,0
50,1063,272000,0
50,1064,292000,0
50,1065,232000,0
50,1066,51000,0
50,1067,277000,0
50,1068,319000,0
50,1069,284000,0
50,1070,50000,0
50,1071,288000,0
50,1072,276000,0
50,1073,244000,0
50,1074,279000,0
50,1075,286000,0
50,1076,47000,0
50,1077,289000,0
50,1078,291000,0
50,1079,287000,0
50,1080,304000,0
50,1081,267000,0
50,1082,296000,0
50,1083,271000,0
50,1084,319000,0
50,1085,275000,0
50,1086,309000,0
50,1087,52000,0
50,1088,332000,0
50,1089,279000,0
50,1090,296000,0
50,1091,42000,0
50,1092,304000,0
50,1093,284000,0
50,1094,318000,0
50,1095,42000,0
50,1096,306000,0
50,1097,262000,0
50,1098,295000,0
50,1099,263000,0
50,1100,330000,0
50,1101,47000,0
50,1102,50000,0
50,1103,47000,0
50,1104,308000,0
50,1105,45000,0
50,1106,293000,0
50,1107,46000,0
50,1108,325000,0
50,1109,264000,0
50,1110,288000,0
50,1111,267000,0
50,1112,281000,0
50,1113,249000,0
50,1114,47000,0
50,1115,47000,0
50,1116,286000,0
50,1117,250000,0
50,1118,270000,0
50,1119,50000,0
50,1120,284000,0
50,1121,250000,0
50,1122,300000,0
50,1123,55000,0
50,1124,54000,0
50,1125,280000,0
50,1126,298000,0
50,1127,291000,0
50,1128,48000,0
50,1129,254000,0
50,1130,313000,0
50,1131,52000,0
50,1132,315000,0
50,1133,43000,0
50,1134,296000,0
50,1135,289000,0
50,1136,326000,0
50,1137,280000,0
50,1138,287000,0
50,1139,279000,0
50,1140,314000,0
50,1141,47000,0
50,1142,284000,0
50,1143,46000,0
50,1144,314000,0
50,1145,50000,0
50,1146,300000,0
50,1147,41000,0
50,1148,321000,0
50,1149,281000,0
50,1150,310000,0
50,1151,267000,0
50,1152,313000,0
50,1153,39000,0
50,1154,288000,0
50,1155,279000,0
50,1156,299000,0
50,1157,278000,0
50,1158,325000,0
50,1159,48000,0
50,1160,337000,0
50,1161,287000,0
50,1162,302000,0
50,1163,285000,0
50,1164,290000,0
50,1165,260000,0
50,1166,325000,0
50,1167,47000,0
50,1168,323000,0
50,1169,50000,0
50,1170,56000,0
50,1171,296000,0
50,1172,316000,0
50,1173,262000,0
50,1174,331000,0
50,1175,261000,0
50,1176,42000,0
50,1177,279000,0
50,1178,48000,0
50,1179,42000,0
50,1180,296000,0
50,1181,273000,0
50,1182,314000,0
50,1183,250000,0
50,1184,46000,0
50,1185,264000,0
50,1186,304000,0
50,1187,269000,0
50,1188,47000,0
50,1189,40000,0
50,1190,307000,0
50,1191,52000,0
50,1192,320000,0
50,1193,54000,0
50,1194,297000,0
50,1195,50000,0
50,1196,317000,0
50,1197,296000,0
50,1198,300000,0
50,1199,266000,0
50,1200,308000,0
50,1201,283000,0
50,1202,323000,0
50,1203,259000,0
50,1204,50000,0
50,1205,281000,0
50,1206,294000,0
50,1207,288000,0
50,1208,349000,0
50,1209,275000,0
50,1210,39000,0
50,1211,239000,0
50,1212,301000,0
50,1213,48000,0
50,1214,289000,0
50,1215,51000,0
50,1216,52000,0
50,1217,245000,0
50,1218,287000,0
50,1219,280000,0
50,1220,320000,0
50,1221,258000,0
50,1222,304000,0
50,1223,281000,0
50,1224,282000,0
50,1225,265000,0
50,1226,317000,0
50,1227,247000,0
50,1228,279000,0
50,1229,50000,0
50,1230,322000,0
50,1231,52000,0
50,1232,317000,0
50,1233,299000,0
50,1234,296000,0
50,1235,299000,0
50,1236,308000,0
50,1237,277000,0
50,1238,305000,0
50,1239,267000,0
50,1240,301000,0
50,1241,309000,0
50,1242,56000,0
50,1243,264000,0
50,1244,320000,0
50,1245,253000,0
50,1246,328000,0
50,1247,261000,0
50,1248,323000,0
50,1249,279000,0
50,1250,301000,0
50,1251,291000,0
50,1252,312000,0
50,1253,268000,0
50,1254,314000,0
50,1255,308000,0
50,1256,302000,0
50,1257,291000,0
50,1258,308000,0
50,1259,279000,0
50,1260,303000,0
50,1261,281000,0
50,1262,304000,0
50,1263,46000,0
50,1264,327000,0
50,1265,295000,0
50,1266,316000,0
50,1267,42000,0
50,1268,312000,0
50,1269,268000,0
50,1270,293000,0
50,1271,265000,0
50,1272,49000,0
50,1273,257000,0
50,1274,298000,0
50,1275,293000,0
50,1276,312000,0
50,1277,293000,0
50,1278,42000,0
50,1279,261000,0
50,1280,301000,0
50,1281,280000,0
50,1282,333000,0
50,1283,296000,0
50,1284,323000,0
50,1285,42000,0
50,1286,51000,0
50,1287,42000,0
50,1288,312000,0
50,1289,274000,0
50,1290,312000,0
50,1291,282000,0
50,1292,321000,0
50,1293,316000,0
50,1294,316000,0
50,1295,272000,0
50,1296,301000,0
50,1297,295000,0
50,1298,331000,0
50,1299,282000,0
50,1300,52000,0
50,1301,264000,0
50,1302,328000,0
50,1303,49000,0
50,1304,308000,0
50,1305,266000,0
50,1306,46000,0
50,1307,287000,0
50,1308,328000,0
50,1309,47000,0
50,1310,306000,0
50,1311,40000,0
50,1312,301000,0
50,1313,252000,0
50,1314,312000,0
50,1315,286000,0
50,1316,314000,0
50,1317,47000,0
50,1318,311000,0
50,1319,303000,0
50,1320,297000,0
50,1321,302000,0
50,1322,51000,0
50,1323,283000,0
50,1324,325000,0
50,1325,267000,0
50,1326,314000,0
50,1327,268000,0
50,1328,49000,0
50,1329,49000,0
50,1330,312000,0
50,1331,50000,0
50,1332,288000,0
50,1333,275000,0
50,1334,305000,0
50,1335,293000,0
50,1336,331000,0
50,1337,53000,0
50,1338,306000,0
50,1339,279000,0
50,1340,49000,0
50,1341,289000,0
50,1342,313000,0
50,1343,47000,0
50,1344,325000,0
50,1345,260000,0
50,1346,316000,0
50,1347,266000,0
50,1348,315000,0
50,1349,48000,0
50,1350,43000,0
50,1351,265000,0
50,1352,316000,0
50,1353,308000,0
50,1354,46000,0
50,1355,276000,0
50,1356,310000,0
50,1357,290000,0
50,1358,324000,0
50,1359,291000,0
50,1360,298000,0
50,1361,288000,0
50,1362,307000,0
50,1363,299000,0
50,1364,292000,0
50,1365,45000,0
50,1366,309000,0
50,1367,281000,0
50,1368,325000,0
50,1369,293000,0
50,1370,326000,0
50,1371,47000,0
50,1372,46000,0
50,1373,336000,0
50,1374,361000,0
50,1375,177000,0
50,1377,321000,0
50,1378,412000,0
50,1379,293000,0
50,1380,57000,0
50,1381,296000,0
50,1382,304000,0
50,1383,53000,0
50,1384,57000,0
50,1385,295000,0
50,1386,277000,0
50,1387,280000,0
50,1388,307000,0
50,1389,279000,0
50,1390,295000,0
50,1391,268000,0
50,1392,306000,0
50,1393,291000,0
50,1394,332000,0
50,1395,291000,0
50,1396,42000,0
50,1397,276000,0
50,1398,287000,0
50,1399,42000,0
50,1400,332000,0
50,1401,290000,0
50,1402,335000,0
50,1403,283000,0
50,1404,324000,0
50,1405,292000,0
50,1406,329000,0
50,1407,281000,0
50,1408,325000,0
50,1409,35000,0
50,1410,310000,0
50,1411,267000,0
50,1412,312000,0
50,1413,268000,0
50,1414,311000,0
50,1415,283000,0
50,1416,327000,0
50,1417,48000,0
50,1418,326000,0
50,1419,286000,0
50,1420,325000,0
50,1421,286000,0
50,1422,324000,0
50,1423,281000,0
50,1424,49000,0
50,1425,50000,0
50,1426,292000,0
50,1427,55000,0
50,1428,300000,0
50,1429,269000,0
50,1430,330000,0
50,1431,291000,0
50,1432,322000,0
50,1433,260000,0
50,1434,335000,0
50,1435,288000,0
50,1436,278000,0
50,1437,268000,0
50,1438,307000,0
50,1439,261000,0
50,1440,349000,0
50,1441,46000,0
50,1442,314000,0
50,1443,51000,0
50,1444,51000,0
50,1445,51000,0
50,1446,313000,0
50,1447,47000,0
50,1448,310000,0
50,1449,42000,0
50,1450,316000,0
50,1451,274000,0
50,1452,317000,0
50,1453,281000,0
50,1454,307000,0
50,1455,291000,0
50,1456,43000,0
50,1457,274000,0
50,1458,331000,0
50,1459,283000,0
50,1460,275000,0
50,1461,263000,0
50,1462,323000,0
50,1463,49000,0
50,1464,317000,0
50,1465,294000,0
50,1466,328000,0
50,1467,306000,0
50,1468,280000,0
50,1469,283000,0
50,1470,321000,0
50,1471,278000,0
50,1472,327000,0
50,1473,46000,0
50,1474,310000,0
50,1475,262000,0
50,1476,312000,0
50,1477,285000,0
50,1478,58000,0
50,1479,260000,0
50,1480,51000,0
50,1481,262000,0
50,1482,325000,0
50,1483,287000,0
50,1484,41000,0
50,1485,293000,0
50,1486,335000,0
50,1487,279000,0
50,1488,309000,0
50,1489,303000,0
50,1490,318000,0
50,1491,47000,0
50,1492,319000,0
50,1493,319000,0
50,1494,50000,0
50,1495,45000,0
50,1496,324000,0
50,1497,39000,0
50,1498,319000,0
50,1499,258000,0
50,1500,318000,0
50,1501,47000,0
50,1502,346000,0
50,1503,305000,0
50,1504,52000,0
50,1505,49000,0
50,1506,336000,0
50,1507,280000,0
50,1508,46000,0
50,1509,265000,0
50,1510,50000,0
50,1511,298000,0
50,1512,50000,0
50,1513,294000,0
50,1514,316000,0
50,1515,282000,0
50,1516,301000,0
50,1517,53000,0
50,1518,55000,0
50,1519,51000,0
50,1520,318000,0
50,1521,277000,0
50,1522,319000,0
50,1523,262000,0
50,1524,52000,0
50,1525,254000,0
50,1526,44000,0
50,1527,274000,0
50,1528,312000,0
50,1529,297000,0
50,1530,309000,0
50,1531,273000,0
50,1532,281000,0
50,1533,259000,0
50,1534,311000,0
50,1535,260000,0
50,1536,48000,0
50,1537,51000,0
50,1538,302000,0
50,1539,256000,0
50,1540,309000,0
50,1541,40000,0
50,1542,320000,0
50,1543,292000,0
50,1544,44000,0
50,1545,276000,0
50,1546,54000,0
50,1547,54000,0
50,1548,311000,0
50,1549,263000,0
50,1550,289000,0
50,1551,49000,0
50,1552,43000,0
50,1553,255000,0
50,1554,49000,0
50,1555,51000,0
50,1556,294000,0
50,1557,270000,0
50,1558,302000,0
50,1559,258000,0
50,1560,288000,0
50,1561,307000,0
50,1562,330000,0
50,1563,273000,0
50,1564,311000,0
50,1565,39000,0
50,1566,304000,0
50,1567,263000,0
50,1568,43000,0
50,1569,275000,0
50,1570,304000,0
50,1571,276000,0
50,1572,303000,0
50,1573,45000,0
50,1574,292000,0
50,1575,236000,0
50,1576,285000,0
50,1577,278000,0
50,1578,309000,0
50,1579,290000,0
50,1580,286000,0
50,1581,282000,0
50,1582,309000,0
50,1583,47000,0
50,1584,51000,0
50,1585,274000,0
50,1586,348000,0
50,1587,277000,0
50,1588,326000,0
50,1589,285000,0
50,1590,41000,0
50,1591,40000,0
50,1592,301000,0
50,1593,264000,0
50,1594,46000,0
50,1595,255000,0
50,1596,49000,0
50,1597,254000,0
50,1598,303000,0
50,1599,40000,0
50,1600,313000,0
50,1601,50000,0
50,1602,303000,0
50,1603,275000,0
50,1604,291000,0
50,1605,47000,0
50,1606,308000,0
50,1607,40000,0
50,1608,56000,0
50,1609,295000,0
50,1610,306000,0
50,1611,287000,0
50,1612,292000,0
50,1613,233000,0
50,1614,46000,0
50,1615,252000,0
50,1616,329000,0
50,1617,305000,0
50,1618,48000,0
50,1619,258000,0
50,1620,288000,0
50,1621,49000,0
50,1622,294000,0
50,1623,299000,0
50,1624,333000,0
50,1625,50000,0
50,1626,317000,0
50,1627,296000,0
50,1628,304000,0
50,1629,278000,0
50,1630,293000,0
50,1631,266000,0
50,1632,302000,0
50,1633,275000,0
50,1634,295000,0
50,1635,42000,0
50,1636,289000,0
50,1637,280000,0
50,1638,308000,0
50,1639,259000,0
50,1640,293000,0
50,1641,285000,0
50,1642,305000,0
50,1643,279000,0
50,1644,280000,0
50,1645,270000,0
50,1646,48000,0
50,1647,251000,0
50,1648,286000,0
50,1649,263000,0
50,1650,297000,0
50,1651,257000,0
50,1652,42000,0
50,1653,284000,0
50,1654,328000,0
50,1655,268000,0
50,1656,300000,0
50,1657,262000,0
50,1658,51000,0
50,1659,260000,0
50,1660,292000,0
50,1661,276000,0
50,1662,320000,0
50,1663,273000,0
50,1664,48000,0
50,1665,270000,0
50,1666,298000,0
50,1667,272000,0
50,1668,289000,0
50,1669,254000,0
50,1670,300000,0
50,1671,293000,0
50,1672,294000,0
50,1673,288000,0
50,1674,287000,0
50,1675,229000,0
50,1676,298000,0
50,1677,255000,0
50,1678,308000,0
50,1679,286000,0
50,1680,51000,0
50,1681,269000,0
50,1682,300000,0
50,1683,249000,0
50,1684,302000,0
50,1685,48000,0
50,1686,329000,0
50,1687,290000,0
50,1688,283000,0
50,1689,287000,0
50,1690,304000,0
50,1691,292000,0
50,1692,291000,0
50,1693,290000,0
50,1694,317000,0
50,1695,282000,0
50,1696,265000,0
50,1697,62000,0
50,1698,299000,0
50,1699,269000,0
50,1700,303000,0
50,1701,234000,0
50,1702,296000,0
50,1703,49000,0
50,1704,309000,0
50,1705,48000,0
50,1706,297000,0
50,1707,255000,0
50,1708,54000,0
50,1709,284000,0
50,1710,298000,0
50,1711,273000,0
50,1712,292000,0
50,1713,242000,0
50,1714,300000,0
50,1715,264000,0
50,1716,55000,0
50,1717,273000,0
50,1718,303000,0
50,1719,248000,0
50,1720,288000,0
50,1721,269000,0
50,1722,287000,0
50,1723,47000,0
50,1724,277000,0
50,1725,294000,0
50,1726,304000,0
50,1727,269000,0
50,1728,294000,0
50,1729,266000,0
50,1730,52000,0
50,1731,258000,0
50,1732,273000,0
50,1733,52000,0
50,1734,328000,0
50,1735,47000,0
50,1736,48000,0
50,1737,54000,0
50,1738,308000,0
50,1739,277000,0
50,1740,327000,0
50,1741,270000,0
50,1742,297000,0
50,1743,244000,0
50,1744,294000,0
50,1745,44000,0
50,1746,317000,0
50,1747,294000,0
50,1748,52000,0
50,1749,51000,0
50,1750,302000,0
50,1751,44000,0
50,1752,301000,0
50,1753,47000,0
50,1754,39000,0
50,1755,268000,0
50,1756,48000,0
50,1757,249000,0
50,1758,320000,0
50,1759,286000,0
50,1760,319000,0
50,1761,45000,0
50,1762,291000,0
50,1763,39000,0
50,1764,287000,0
50,1765,285000,0
50,1766,282000,0
50,1767,273000,0
50,1768,287000,0
50,1769,43000,0
50,1770,291000,0
50,1771,259000,0
50,1772,313000,0
50,1773,279000,0
50,1774,301000,0
50,1775,273000,0
50,1776,49000,0
50,1777,271000,0
50,1778,300000,0
50,1779,274000,0
50,1780,297000,0
50,1781,275000,0
50,1782,316000,0
50,1783,250000,0
50,1784,279000,0
50,1785,276000,0
50,1786,312000,0
50,1787,271000,0
50,1788,46000,0
50,1789,52000,0
50,1790,303000,0
50,1791,300000,0
50,1792,299000,0
50,1793,257000,0
50,1794,324000,0
50,1795,295000,0
50,1796,52000,0
50,1797,39000,0
50,1798,302000,0
50,1799,247000,0
50,1800,292000,0
50,1801,46000,0
50,1802,302000,0
50,1803,49000,0
50,1804,49000,0
50,1805,271000,0
50,1806,280000,0
50,1807,49000,0
50,1808,63000,0
50,1809,275000,0
50,1810,323000,0
50,1811,277000,0
50,1812,292000,0
50,1813,39000,0
50,1814,45000,0
50,1815,277000,0
