Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1024,0xFFFFFFFF,1000000,Upper,156,0
1024,0xFFFFFFFF,1000000,Lower,151,0
1024,0xFFFFFFFF,500000,Double,4440,0
1024,0x00000000,1000000,Upper,131,0
1024,0x00000000,1000000,Lower,129,0
1024,0x00000000,500000,Double,3503,0
1025,0xFFFFFFFF,1000000,Upper,189,0
1025,0xFFFFFFFF,1000000,Lower,199,0
1025,0xFFFFFFFF,500000,Double,4909,0
1025,0x00000000,1000000,Upper,136,0
1025,0x00000000,1000000,Lower,142,0
1025,0x00000000,500000,Double,3786,0
1026,0xFFFFFFFF,1000000,Upper,137,0
1026,0xFFFFFFFF,1000000,Lower,156,0
1026,0xFFFFFFFF,500000,Double,4506,0
1026,0x00000000,1000000,Upper,134,0
1026,0x00000000,1000000,Lower,125,0
1026,0x00000000,500000,Double,3524,0
1027,0xFFFFFFFF,1000000,Upper,171,0
1027,0xFFFFFFFF,1000000,Lower,185,0
1027,0xFFFFFFFF,500000,Double,5073,0
1027,0x00000000,1000000,Upper,145,0
1027,0x00000000,1000000,Lower,149,0
1027,0x00000000,500000,Double,3852,0
1028,0xFFFFFFFF,1000000,Upper,153,0
1028,0xFFFFFFFF,1000000,Lower,151,0
1028,0xFFFFFFFF,500000,Double,4369,0
1028,0x00000000,1000000,Upper,156,0
1028,0x00000000,1000000,Lower,119,0
1028,0x00000000,500000,Double,3493,0
1029,0xFFFFFFFF,1000000,Upper,174,0
1029,0xFFFFFFFF,1000000,Lower,189,0
1029,0xFFFFFFFF,500000,Double,4966,0
1029,0x00000000,1000000,Upper,170,0
1029,0x00000000,1000000,Lower,141,0
1029,0x00000000,500000,Double,3719,0
1030,0xFFFFFFFF,1000000,Upper,143,0
1030,0xFFFFFFFF,1000000,Lower,176,0
1030,0xFFFFFFFF,500000,Double,4458,0
1030,0x00000000,1000000,Upper,126,0
1030,0x00000000,1000000,Lower,105,0
1030,0x00000000,500000,Double,3451,0
1031,0xFFFFFFFF,1000000,Upper,171,0
1031,0xFFFFFFFF,1000000,Lower,181,0
1031,0xFFFFFFFF,500000,Double,5032,0
1031,0x00000000,1000000,Upper,137,0
1031,0x00000000,1000000,Lower,134,0
1031,0x00000000,500000,Double,3803,0
1032,0xFFFFFFFF,1000000,Upper,146,0
1032,0xFFFFFFFF,1000000,Lower,164,0
1032,0xFFFFFFFF,500000,Double,4417,0
1032,0x00000000,1000000,Upper,128,0
1032,0x00000000,1000000,Lower,122,0
1032,0x00000000,500000,Double,3417,0
1033,0xFFFFFFFF,1000000,Upper,169,0
1033,0xFFFFFFFF,1000000,Lower,224,0
1033,0xFFFFFFFF,500000,Double,5129,0
1033,0x00000000,1000000,Upper,146,0
1033,0x00000000,1000000,Lower,153,0
1033,0x00000000,500000,Double,3804,0
1034,0xFFFFFFFF,1000000,Upper,127,0
1034,0xFFFFFFFF,1000000,Lower,141,0
1034,0xFFFFFFFF,500000,Double,4322,0
1034,0x00000000,1000000,Upper,141,0
1034,0x00000000,1000000,Lower,133,0
1034,0x00000000,500000,Double,3539,0
1035,0xFFFFFFFF,1000000,Upper,181,0
1035,0xFFFFFFFF,1000000,Lower,214,0
1035,0xFFFFFFFF,500000,Double,4878,0
1035,0x00000000,1000000,Upper,148,0
1035,0x00000000,1000000,Lower,164,0
1035,0x00000000,500000,Double,3831,0
1036,0xFFFFFFFF,1000000,Upper,119,0
1036,0xFFFFFFFF,1000000,Lower,155,0
1036,0xFFFFFFFF,500000,Double,4526,0
1036,0x00000000,1000000,Upper,149,0
1036,0x00000000,1000000,Lower,132,0
1036,0x00000000,500000,Double,3559,0
1037,0xFFFFFFFF,1000000,Upper,180,0
1037,0xFFFFFFFF,1000000,Lower,188,0
1037,0xFFFFFFFF,500000,Double,5143,0
1037,0x00000000,1000000,Upper,142,0
1037,0x00000000,1000000,Lower,135,0
1037,0x00000000,500000,Double,3752,0
1038,0xFFFFFFFF,1000000,Upper,135,0
1038,0xFFFFFFFF,1000000,Lower,136,0
1038,0xFFFFFFFF,500000,Double,4482,0
1038,0x00000000,1000000,Upper,138,0
1038,0x00000000,1000000,Lower,110,0
1038,0x00000000,500000,Double,3573,0
1039,0xFFFFFFFF,1000000,Upper,185,0
1039,0xFFFFFFFF,1000000,Lower,195,0
1039,0xFFFFFFFF,500000,Double,5050,0
1039,0x00000000,1000000,Upper,137,0
1039,0x00000000,1000000,Lower,134,0
1039,0x00000000,500000,Double,3757,0
1040,0xFFFFFFFF,1000000,Upper,144,0
1040,0xFFFFFFFF,1000000,Lower,130,0
1040,0xFFFFFFFF,500000,Double,4410,0
1040,0x00000000,1000000,Upper,137,0
1040,0x00000000,1000000,Lower,120,0
1040,0x00000000,500000,Double,3524,0
1041,0xFFFFFFFF,1000000,Upper,190,0
1041,0xFFFFFFFF,1000000,Lower,176,0
1041,0xFFFFFFFF,500000,Double,5057,0
1041,0x00000000,1000000,Upper,165,0
1041,0x00000000,1000000,Lower,140,0
1041,0x00000000,500000,Double,3651,0
1042,0xFFFFFFFF,1000000,Upper,145,0
1042,0xFFFFFFFF,1000000,Lower,169,0
1042,0xFFFFFFFF,500000,Double,4529,0
1042,0x00000000,1000000,Upper,141,0
1042,0x00000000,1000000,Lower,128,0
1042,0x00000000,500000,Double,3525,0
1043,0xFFFFFFFF,1000000,Upper,186,0
1043,0xFFFFFFFF,1000000,Lower,183,0
1043,0xFFFFFFFF,500000,Double,4973,0
1043,0x00000000,1000000,Upper,157,0
1043,0x00000000,1000000,Lower,117,0
1043,0x00000000,500000,Double,3682,0
1044,0xFFFFFFFF,1000000,Upper,141,0
1044,0xFFFFFFFF,1000000,Lower,155,0
1044,0xFFFFFFFF,500000,Double,4548,0
1044,0x00000000,1000000,Upper,158,0
1044,0x00000000,1000000,Lower,104,0
1044,0x00000000,500000,Double,3372,0
1045,0xFFFFFFFF,1000000,Upper,184,0
1045,0xFFFFFFFF,1000000,Lower,204,0
1045,0xFFFFFFFF,500000,Double,5048,0
1045,0x00000000,1000000,Upper,172,0
1045,0x00000000,1000000,Lower,175,0
1045,0x00000000,500000,Double,3756,0
1046,0xFFFFFFFF,1000000,Upper,146,0
1046,0xFFFFFFFF,1000000,Lower,163,0
1046,0xFFFFFFFF,500000,Double,4512,0
1046,0x00000000,1000000,Upper,136,0
1046,0x00000000,1000000,Lower,123,0
1046,0x00000000,500000,Double,3514,0
1047,0xFFFFFFFF,1000000,Upper,196,0
1047,0xFFFFFFFF,1000000,Lower,170,0
1047,0xFFFFFFFF,500000,Double,5158,0
