Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1024,0xFFFFFFFF,330000,Upper,1,0
1024,0xFFFFFFFF,420000,Lower,1,0
1024,0xFFFFFFFF,63000,Double,1,0
1024,0x00000000,300000,Upper,1,0
1024,0x00000000,230000,Lower,1,0
1024,0x00000000,36000,Double,1,0
1025,0xFFFFFFFF,220000,Upper,1,0
1025,0xFFFFFFFF,350000,Lower,1,0
1025,0xFFFFFFFF,40000,Double,1,0
1025,0x00000000,300000,Upper,1,0
1025,0x00000000,290000,Lower,1,0
1025,0x00000000,46000,Double,1,0
1026,0xFFFFFFFF,370000,Upper,1,0
1026,0xFFFFFFFF,270000,Lower,1,0
1026,0xFFFFFFFF,53000,Double,1,0
1026,0x00000000,250000,Upper,1,0
1026,0x00000000,280000,Lower,1,0
1026,0x00000000,56000,Double,1,0
1027,0xFFFFFFFF,230000,Upper,1,0
1027,0xFFFFFFFF,270000,Lower,1,0
1027,0xFFFFFFFF,51000,Double,1,0
1027,0x00000000,140000,Upper,1,0
1027,0x00000000,330000,Lower,1,0
1027,0x00000000,30000,Double,1,0
1028,0xFFFFFFFF,340000,Upper,1,0
1028,0xFFFFFFFF,320000,Lower,1,0
1028,0xFFFFFFFF,61000,Double,1,0
1028,0x00000000,190000,Upper,1,0
1028,0x00000000,230000,Lower,1,0
1028,0x00000000,41000,Double,1,0
1029,0xFFFFFFFF,320000,Upper,1,0
1029,0xFFFFFFFF,300000,Lower,1,0
1029,0xFFFFFFFF,42000,Double,1,0
1029,0x00000000,240000,Upper,1,0
1029,0x00000000,390000,Lower,1,0
1029,0x00000000,47000,Double,1,0
1030,0xFFFFFFFF,270000,Upper,1,0
1030,0xFFFFFFFF,340000,Lower,2,0
1030,0xFFFFFFFF,51000,Double,1,0
1030,0x00000000,220000,Upper,1,0
1030,0x00000000,260000,Lower,1,0
1030,0x00000000,52000,Double,1,0
1031,0xFFFFFFFF,390000,Upper,1,0
1031,0xFFFFFFFF,240000,Lower,1,0
1031,0xFFFFFFFF,64000,Double,2,0
