Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1024,0xFFFFFFFF,1000000,Upper,1762,0
1024,0xFFFFFFFF,1000000,Lower,2153,0
1024,0xFFFFFFFF,500000,Double,25545,0
1024,0x00000000,1000000,Upper,1750,0
1024,0x00000000,1000000,Lower,2813,0
1024,0x00000000,500000,Double,10632,0
1025,0xFFFFFFFF,1000000,Upper,2177,0
1025,0xFFFFFFFF,1000000,Lower,1857,0
1025,0xFFFFFFFF,500000,Double,25959,0
1025,0x00000000,1000000,Upper,2855,0
1025,0x00000000,1000000,Lower,1596,0
1025,0x00000000,500000,Double,10318,0
1026,0xFFFFFFFF,1000000,Upper,1742,0
1026,0xFFFFFFFF,1000000,Lower,2204,0
1026,0xFFFFFFFF,500000,Double,25802,0
1026,0x00000000,1000000,Upper,1741,0
1026,0x00000000,1000000,Lower,2834,0
1026,0x00000000,500000,Double,10613,0
1027,0xFFFFFFFF,1000000,Upper,2111,0
1027,0xFFFFFFFF,1000000,Lower,1792,0
1027,0xFFFFFFFF,500000,Double,25816,0
1027,0x00000000,1000000,Upper,2812,0
1027,0x00000000,1000000,Lower,1571,0
1027,0x00000000,500000,Double,10345,0
1028,0xFFFFFFFF,1000000,Upper,1682,0
1028,0xFFFFFFFF,1000000,Lower,2211,0
1028,0xFFFFFFFF,500000,Double,25681,0
1028,0x00000000,1000000,Upper,1690,0
1028,0x00000000,1000000,Lower,2947,0
1028,0x00000000,500000,Double,10523,0
1029,0xFFFFFFFF,1000000,Upper,2250,0
1029,0xFFFFFFFF,1000000,Lower,1788,0
1029,0xFFFFFFFF,500000,Double,26108,0
1029,0x00000000,1000000,Upper,2862,0
1029,0x00000000,1000000,Lower,1551,0
1029,0x00000000,500000,Double,10247,0
1030,0xFFFFFFFF,1000000,Upper,1698,0
1030,0xFFFFFFFF,1000000,Lower,2105,0
1030,0xFFFFFFFF,500000,Double,25633,0
1030,0x00000000,1000000,Upper,1809,0
1030,0x00000000,1000000,Lower,2887,0
1030,0x00000000,500000,Double,10544,0
1031,0xFFFFFFFF,1000000,Upper,2222,0
1031,0xFFFFFFFF,1000000,Lower,1772,0
1031,0xFFFFFFFF,500000,Double,25994,0
1031,0x00000000,1000000,Upper,2927,0
1031,0x00000000,1000000,Lower,1568,0
1031,0x00000000,500000,Double,10400,0
1032,0xFFFFFFFF,1000000,Upper,1688,0
1032,0xFFFFFFFF,1000000,Lower,2251,0
1032,0xFFFFFFFF,500000,Double,25706,0
1032,0x00000000,1000000,Upper,1853,0
1032,0x00000000,1000000,Lower,2778,0
1032,0x00000000,500000,Double,10601,0
1033,0xFFFFFFFF,1000000,Upper,2166,0
1033,0xFFFFFFFF,1000000,Lower,1893,0
1033,0xFFFFFFFF,500000,Double,26289,0
1033,0x00000000,1000000,Upper,2925,0
1033,0x00000000,1000000,Lower,1605,0
1033,0x00000000,500000,Double,10342,0
1034,0xFFFFFFFF,1000000,Upper,1733,0
1034,0xFFFFFFFF,1000000,Lower,2190,0
1034,0xFFFFFFFF,500000,Double,25841,0
1034,0x00000000,1000000,Upper,1787,0
1034,0x00000000,1000000,Lower,2805,0
1034,0x00000000,500000,Double,10577,0
1035,0xFFFFFFFF,1000000,Upper,2115,0
1035,0xFFFFFFFF,1000000,Lower,1862,0
1035,0xFFFFFFFF,500000,Double,25916,0
1035,0x00000000,1000000,Upper,2882,0
1035,0x00000000,1000000,Lower,1620,0
1035,0x00000000,500000,Double,10421,0
1036,0xFFFFFFFF,1000000,Upper,1763,0
1036,0xFFFFFFFF,1000000,Lower,2172,0
1036,0xFFFFFFFF,500000,Double,26143,0
1036,0x00000000,1000000,Upper,1808,0
1036,0x00000000,1000000,Lower,2878,0
1036,0x00000000,500000,Double,10690,0
1037,0xFFFFFFFF,1000000,Upper,2094,0
1037,0xFFFFFFFF,1000000,Lower,1867,0
1037,0xFFFFFFFF,500000,Double,25851,0
1037,0x00000000,1000000,Upper,2904,0
1037,0x00000000,1000000,Lower,1576,0
1037,0x00000000,500000,Double,10391,0
1038,0xFFFFFFFF,1000000,Upper,1603,0
1038,0xFFFFFFFF,1000000,Lower,2153,0
1038,0xFFFFFFFF,500000,Double,25797,0
1038,0x00000000,1000000,Upper,1799,0
1038,0x00000000,1000000,Lower,3035,0
1038,0x00000000,500000,Double,10744,0
1039,0xFFFFFFFF,1000000,Upper,2208,0
1039,0xFFFFFFFF,1000000,Lower,1842,0
1039,0xFFFFFFFF,500000,Double,26005,0
1039,0x00000000,1000000,Upper,2863,0
1039,0x00000000,1000000,Lower,1565,0
1039,0x00000000,500000,Double,10393,0
1040,0xFFFFFFFF,1000000,Upper,1748,0
1040,0xFFFFFFFF,1000000,Lower,2226,0
1040,0xFFFFFFFF,500000,Double,25690,0
1040,0x00000000,1000000,Upper,1788,0
1040,0x00000000,1000000,Lower,2989,0
1040,0x00000000,500000,Double,10638,0
1041,0xFFFFFFFF,1000000,Upper,2160,0
1041,0xFFFFFFFF,1000000,Lower,1888,0
1041,0xFFFFFFFF,500000,Double,26150,0
1041,0x00000000,1000000,Upper,2924,0
1041,0x00000000,1000000,Lower,1597,0
1041,0x00000000,500000,Double,10362,0
1042,0xFFFFFFFF,1000000,Upper,1586,0
1042,0xFFFFFFFF,1000000,Lower,2116,0
1042,0xFFFFFFFF,500000,Double,25717,0
1042,0x00000000,1000000,Upper,1792,0
1042,0x00000000,1000000,Lower,2861,0
1042,0x00000000,500000,Double,10510,0
1043,0xFFFFFFFF,1000000,Upper,2188,0
1043,0xFFFFFFFF,1000000,Lower,1874,0
1043,0xFFFFFFFF,500000,Double,26118,0
1043,0x00000000,1000000,Upper,2871,0
1043,0x00000000,1000000,Lower,1586,0
1043,0x00000000,500000,Double,10273,0
1044,0xFFFFFFFF,1000000,Upper,1704,0
1044,0xFFFFFFFF,1000000,Lower,2146,0
1044,0xFFFFFFFF,500000,Double,25781,0
1044,0x00000000,1000000,Upper,1700,0
1044,0x00000000,1000000,Lower,2878,0
1044,0x00000000,500000,Double,10564,0
1045,0xFFFFFFFF,1000000,Upper,2139,0
1045,0xFFFFFFFF,1000000,Lower,1842,0
1045,0xFFFFFFFF,500000,Double,25911,0
1045,0x00000000,1000000,Upper,2889,0
1045,0x00000000,1000000,Lower,1605,0
1045,0x00000000,500000,Double,10335,0
1046,0xFFFFFFFF,1000000,Upper,1616,0
1046,0xFFFFFFFF,1000000,Lower,2260,0
1046,0xFFFFFFFF,500000,Double,25955,0
1046,0x00000000,1000000,Upper,1713,0
1046,0x00000000,1000000,Lower,2962,0
1046,0x00000000,500000,Double,10503,0
1047,0xFFFFFFFF,1000000,Upper,2194,0
1047,0xFFFFFFFF,1000000,Lower,1805,0
1047,0xFFFFFFFF,500000,Double,26096,0
1047,0x00000000,1000000,Upper,2911,0
1047,0x00000000,1000000,Lower,1538,0
1047,0x00000000,500000,Double,10369,0
1048,0xFFFFFFFF,1000000,Upper,1659,0
1048,0xFFFFFFFF,1000000,Lower,2152,0
1048,0xFFFFFFFF,500000,Double,25621,0
1048,0x00000000,1000000,Upper,1704,0
1048,0x00000000,1000000,Lower,2884,0
1048,0x00000000,500000,Double,10646,0
1049,0xFFFFFFFF,1000000,Upper,2091,0
1049,0xFFFFFFFF,1000000,Lower,1803,0
1049,0xFFFFFFFF,500000,Double,26044,0
1049,0x00000000,1000000,Upper,2882,0
1049,0x00000000,1000000,Lower,1622,0
1049,0x00000000,500000,Double,10391,0
1050,0xFFFFFFFF,1000000,Upper,1751,0
1050,0xFFFFFFFF,1000000,Lower,2182,0
1050,0xFFFFFFFF,500000,Double,25927,0
1050,0x00000000,1000000,Upper,1747,0
1050,0x00000000,1000000,Lower,2915,0
1050,0x00000000,500000,Double,10511,0
1051,0xFFFFFFFF,1000000,Upper,2142,0
1051,0xFFFFFFFF,1000000,Lower,1868,0
1051,0xFFFFFFFF,500000,Double,25903,0
1051,0x00000000,1000000,Upper,2889,0
1051,0x00000000,1000000,Lower,1522,0
1051,0x00000000,500000,Double,10312,0
1052,0xFFFFFFFF,1000000,Upper,1683,0
1052,0xFFFFFFFF,1000000,Lower,2277,0
1052,0xFFFFFFFF,500000,Double,25782,0
1052,0x00000000,1000000,Upper,1742,0
1052,0x00000000,1000000,Lower,2851,0
1052,0x00000000,500000,Double,10444,0
1053,0xFFFFFFFF,1000000,Upper,2206,0
1053,0xFFFFFFFF,1000000,Lower,1865,0
1053,0xFFFFFFFF,500000,Double,26123,0
1053,0x00000000,1000000,Upper,2946,0
1053,0x00000000,1000000,Lower,1568,0
1053,0x00000000,500000,Double,10197,0
1054,0xFFFFFFFF,1000000,Upper,1655,0
1054,0xFFFFFFFF,1000000,Lower,2090,0
1054,0xFFFFFFFF,500000,Double,25587,0
1054,0x00000000,1000000,Upper,1778,0
1054,0x00000000,1000000,Lower,2889,0
1054,0x00000000,500000,Double,10649,0
1055,0xFFFFFFFF,1000000,Upper,2174,0
1055,0xFFFFFFFF,1000000,Lower,1767,0
1055,0xFFFFFFFF,500000,Double,26103,0
1055,0x00000000,1000000,Upper,2875,0
1055,0x00000000,1000000,Lower,1574,0
1055,0x00000000,500000,Double,10495,0
1056,0xFFFFFFFF,1000000,Upper,1679,0
1056,0xFFFFFFFF,1000000,Lower,2177,0
1056,0xFFFFFFFF,500000,Double,25668,0
1056,0x00000000,1000000,Upper,1813,0
1056,0x00000000,1000000,Lower,2880,0
1056,0x00000000,500000,Double,10709,0
1057,0xFFFFFFFF,1000000,Upper,2230,0
1057,0xFFFFFFFF,1000000,Lower,1804,0
1057,0xFFFFFFFF,500000,Double,26104,0
1057,0x00000000,1000000,Upper,2874,0
1057,0x00000000,1000000,Lower,1648,0
1057,0x00000000,500000,Double,10322,0
1058,0xFFFFFFFF,1000000,Upper,1651,0
1058,0xFFFFFFFF,1000000,Lower,2256,0
1058,0xFFFFFFFF,500000,Double,25834,0
1058,0x00000000,1000000,Upper,1755,0
1058,0x00000000,1000000,Lower,2864,0
1058,0x00000000,500000,Double,10482,0
1059,0xFFFFFFFF,1000000,Upper,2200,0
1059,0xFFFFFFFF,1000000,Lower,1875,0
1059,0xFFFFFFFF,500000,Double,26300,0
1059,0x00000000,1000000,Upper,2844,0
1059,0x00000000,1000000,Lower,1626,0
1059,0x00000000,500000,Double,10276,0
1060,0xFFFFFFFF,1000000,Upper,1721,0
1060,0xFFFFFFFF,1000000,Lower,2139,0
1060,0xFFFFFFFF,500000,Double,25745,0
1060,0x00000000,1000000,Upper,1751,0
1060,0x00000000,1000000,Lower,2893,0
1060,0x00000000,500000,Double,10595,0
1061,0xFFFFFFFF,1000000,Upper,2192,0
1061,0xFFFFFFFF,1000000,Lower,1823,0
1061,0xFFFFFFFF,500000,Double,26129,0
1061,0x00000000,1000000,Upper,2893,0
1061,0x00000000,1000000,Lower,1589,0
1061,0x00000000,500000,Double,10404,0
1062,0xFFFFFFFF,1000000,Upper,1627,0
1062,0xFFFFFFFF,1000000,Lower,2104,0
1062,0xFFFFFFFF,500000,Double,25558,0
1062,0x00000000,1000000,Upper,1750,0
1062,0x00000000,1000000,Lower,2791,0
1062,0x00000000,500000,Double,10478,0
1063,0xFFFFFFFF,1000000,Upper,2170,0
1063,0xFFFFFFFF,1000000,Lower,1846,0
1063,0xFFFFFFFF,500000,Double,26042,0
1063,0x00000000,1000000,Upper,2827,0
1063,0x00000000,1000000,Lower,1605,0
1063,0x00000000,500000,Double,10156,0
1064,0xFFFFFFFF,1000000,Upper,1670,0
1064,0xFFFFFFFF,1000000,Lower,2091,0
1064,0xFFFFFFFF,500000,Double,25543,0
1064,0x00000000,1000000,Upper,1778,0
1064,0x00000000,1000000,Lower,2810,0
1064,0x00000000,500000,Double,10610,0
1065,0xFFFFFFFF,1000000,Upper,2110,0
1065,0xFFFFFFFF,1000000,Lower,1903,0
1065,0xFFFFFFFF,500000,Double,26170,0
1065,0x00000000,1000000,Upper,2843,0
1065,0x00000000,1000000,Lower,1606,0
1065,0x00000000,500000,Double,10300,0
1066,0xFFFFFFFF,1000000,Upper,1700,0
1066,0xFFFFFFFF,1000000,Lower,2163,0
1066,0xFFFFFFFF,500000,Double,25566,0
1066,0x00000000,1000000,Upper,1784,0
1066,0x00000000,1000000,Lower,2874,0
1066,0x00000000,500000,Double,10628,0
1067,0xFFFFFFFF,1000000,Upper,2133,0
1067,0xFFFFFFFF,1000000,Lower,1853,0
1067,0xFFFFFFFF,500000,Double,26109,0
1067,0x00000000,1000000,Upper,2776,0
1067,0x00000000,1000000,Lower,1590,0
1067,0x00000000,500000,Double,10170,0
1068,0xFFFFFFFF,1000000,Upper,1667,0
1068,0xFFFFFFFF,1000000,Lower,2219,0
1068,0xFFFFFFFF,500000,Double,25669,0
1068,0x00000000,1000000,Upper,1771,0
1068,0x00000000,1000000,Lower,2960,0
1068,0x00000000,500000,Double,10682,0
1069,0xFFFFFFFF,1000000,Upper,2145,0
1069,0xFFFFFFFF,1000000,Lower,1779,0
1069,0xFFFFFFFF,500000,Double,26098,0
1069,0x00000000,1000000,Upper,2889,0
1069,0x00000000,1000000,Lower,1611,0
1069,0x00000000,500000,Double,10414,0
1070,0xFFFFFFFF,1000000,Upper,1686,0
1070,0xFFFFFFFF,1000000,Lower,2109,0
1070,0xFFFFFFFF,500000,Double,25756,0
1070,0x00000000,1000000,Upper,1716,0
1070,0x00000000,1000000,Lower,2857,0
1070,0x00000000,500000,Double,10385,0
1071,0xFFFFFFFF,1000000,Upper,2049,0
1071,0xFFFFFFFF,1000000,Lower,1812,0
1071,0xFFFFFFFF,500000,Double,25825,0
1071,0x00000000,1000000,Upper,2930,0
1071,0x00000000,1000000,Lower,1590,0
1071,0x00000000,500000,Double,10367,0
1072,0xFFFFFFFF,1000000,Upper,1676,0
1072,0xFFFFFFFF,1000000,Lower,2167,0
1072,0xFFFFFFFF,500000,Double,25594,0
1072,0x00000000,1000000,Upper,1755,0
1072,0x00000000,1000000,Lower,2845,0
1072,0x00000000,500000,Double,10672,0
1073,0xFFFFFFFF,1000000,Upper,2228,0
1073,0xFFFFFFFF,1000000,Lower,1811,0
1073,0xFFFFFFFF,500000,Double,26080,0
1073,0x00000000,1000000,Upper,2878,0
1073,0x00000000,1000000,Lower,1664,0
1073,0x00000000,500000,Double,10357,0
1074,0xFFFFFFFF,1000000,Upper,1614,0
1074,0xFFFFFFFF,1000000,Lower,2177,0
1074,0xFFFFFFFF,500000,Double,25856,0
1074,0x00000000,1000000,Upper,1864,0
1074,0x00000000,1000000,Lower,2807,0
1074,0x00000000,500000,Double,10606,0
1075,0xFFFFFFFF,1000000,Upper,2144,0
1075,0xFFFFFFFF,1000000,Lower,1848,0
1075,0xFFFFFFFF,500000,Double,26204,0
1075,0x00000000,1000000,Upper,2882,0
1075,0x00000000,1000000,Lower,1538,0
1075,0x00000000,500000,Double,10198,0
1076,0xFFFFFFFF,1000000,Upper,1639,0
1076,0xFFFFFFFF,1000000,Lower,2178,0
1076,0xFFFFFFFF,500000,Double,25589,0
1076,0x00000000,1000000,Upper,1832,0
1076,0x00000000,1000000,Lower,2875,0
1076,0x00000000,500000,Double,10619,0
1077,0xFFFFFFFF,1000000,Upper,2171,0
1077,0xFFFFFFFF,1000000,Lower,1835,0
1077,0xFFFFFFFF,500000,Double,25965,0
1077,0x00000000,1000000,Upper,2878,0
1077,0x00000000,1000000,Lower,1521,0
1077,0x00000000,500000,Double,10304,0
1078,0xFFFFFFFF,1000000,Upper,1625,0
1078,0xFFFFFFFF,1000000,Lower,2132,0
1078,0xFFFFFFFF,500000,Double,25769,0
1078,0x00000000,1000000,Upper,1752,0
1078,0x00000000,1000000,Lower,2819,0
1078,0x00000000,500000,Double,10519,0
1079,0xFFFFFFFF,1000000,Upper,2246,0
1079,0xFFFFFFFF,1000000,Lower,1820,0
1079,0xFFFFFFFF,500000,Double,25855,0
