Temp,Vic Row,HC,Itr
50,1024,86000,0
50,1025,17000,0
50,1026,79000,0
50,1027,18000,0
50,1028,80000,0
50,1029,88000,0
50,1030,18000,0
50,1031,83000,0
50,1032,78000,0
50,1033,20000,0
50,1034,85000,0
50,1035,83000,0
50,1036,16000,0
50,1037,92000,0
50,1038,78000,0
50,1039,93000,0
50,1040,79000,0
50,1041,90000,0
50,1042,16000,0
50,1043,85000,0
50,1044,86000,0
50,1045,87000,0
50,1046,86000,0
50,1047,82000,0
50,1048,14000,0
50,1049,92000,0
50,1050,17000,0
50,1051,90000,0
50,1052,82000,0
50,1053,15000,0
50,1054,79000,0
50,1055,84000,0
50,1056,83000,0
50,1057,89000,0
50,1058,81000,0
50,1059,87000,0
50,1060,86000,0
50,1061,90000,0
50,1062,83000,0
50,1063,88000,0
50,1064,19000,0
50,1065,89000,0
50,1066,81000,0
50,1067,86000,0
50,1068,17000,0
50,1069,87000,0
50,1070,79000,0
50,1071,91000,0
50,1072,81000,0
50,1073,86000,0
50,1074,83000,0
50,1075,92000,0
50,1076,82000,0
50,1077,85000,0
50,1078,75000,0
50,1079,92000,0
50,1080,81000,0
50,1081,84000,0
50,1082,79000,0
50,1083,18000,0
50,1084,83000,0
50,1085,91000,0
50,1086,18000,0
50,1087,15000,0
50,1088,81000,0
50,1089,84000,0
50,1090,15000,0
50,1091,17000,0
50,1092,78000,0
50,1093,87000,0
50,1094,83000,0
50,1095,89000,0
50,1096,75000,0
50,1097,89000,0
50,1098,82000,0
50,1099,85000,0
50,1100,18000,0
50,1101,18000,0
50,1102,78000,0
50,1103,86000,0
50,1104,76000,0
50,1105,83000,0
50,1106,15000,0
50,1107,90000,0
50,1108,17000,0
50,1109,19000,0
50,1110,83000,0
50,1111,91000,0
50,1112,78000,0
50,1113,84000,0
50,1114,78000,0
50,1115,87000,0
50,1116,18000,0
50,1117,84000,0
50,1118,77000,0
50,1119,86000,0
50,1120,72000,0
50,1121,86000,0
50,1122,84000,0
50,1123,84000,0
50,1124,82000,0
50,1125,18000,0
50,1126,81000,0
50,1127,87000,0
50,1128,80000,0
50,1129,88000,0
50,1130,81000,0
50,1131,84000,0
50,1132,17000,0
50,1133,90000,0
50,1134,79000,0
50,1135,84000,0
50,1136,82000,0
50,1137,84000,0
50,1138,83000,0
50,1139,88000,0
50,1140,83000,0
50,1141,16000,0
50,1142,80000,0
50,1143,92000,0
50,1144,80000,0
50,1145,89000,0
50,1146,78000,0
50,1147,88000,0
50,1148,78000,0
50,1149,88000,0
50,1150,18000,0
50,1151,18000,0
50,1152,19000,0
50,1153,86000,0
50,1154,77000,0
