Temp,Vic Row,HC,Itr
50,1024,164000,0
50,1025,152000,0
50,1026,154000,0
50,1027,154000,0
50,1028,162000,0
50,1029,163000,0
50,1030,152000,0
50,1031,159000,0
50,1032,155000,0
50,1033,152000,0
50,1034,153000,0
50,1035,147000,0
50,1036,158000,0
50,1037,161000,0
50,1038,157000,0
50,1039,158000,0
50,1040,165000,0
50,1041,161000,0
50,1042,151000,0
50,1043,151000,0
50,1044,153000,0
50,1045,152000,0
50,1046,166000,0
50,1047,156000,0
50,1048,164000,0
50,1049,157000,0
50,1050,154000,0
50,1051,154000,0
50,1052,155000,0
50,1053,155000,0
50,1054,156000,0
50,1055,155000,0
50,1056,163000,0
50,1057,150000,0
50,1058,159000,0
50,1059,157000,0
50,1060,159000,0
50,1061,156000,0
50,1062,168000,0
50,1063,151000,0
50,1064,160000,0
50,1065,157000,0
50,1066,149000,0
50,1067,150000,0
50,1068,171000,0
50,1069,154000,0
50,1070,149000,0
50,1071,156000,0
50,1072,163000,0
50,1073,151000,0
50,1074,166000,0
50,1075,150000,0
50,1076,155000,0
50,1077,152000,0
50,1078,153000,0
50,1079,154000,0
50,1080,157000,0
50,1081,151000,0
50,1082,155000,0
50,1083,150000,0
50,1084,160000,0
50,1085,154000,0
50,1086,152000,0
50,1087,161000,0
50,1088,158000,0
50,1089,24000,0
50,1090,159000,0
50,1091,154000,0
50,1092,156000,0
50,1093,154000,0
50,1094,152000,0
50,1095,156000,0
50,1096,163000,0
50,1097,157000,0
50,1098,162000,0
50,1099,153000,0
50,1100,153000,0
50,1101,156000,0
50,1102,159000,0
50,1103,160000,0
50,1104,164000,0
50,1105,30000,0
50,1106,160000,0
50,1107,151000,0
50,1108,163000,0
50,1109,153000,0
50,1110,151000,0
50,1111,159000,0
50,1112,153000,0
50,1113,151000,0
50,1114,146000,0
50,1115,157000,0
50,1116,157000,0
50,1117,156000,0
50,1118,159000,0
50,1119,156000,0
50,1120,172000,0
50,1121,144000,0
50,1122,159000,0
50,1123,144000,0
50,1124,163000,0
50,1125,153000,0
50,1126,156000,0
50,1127,151000,0
50,1128,153000,0
50,1129,141000,0
50,1130,157000,0
50,1131,145000,0
50,1132,158000,0
50,1133,157000,0
50,1134,148000,0
50,1135,151000,0
50,1136,160000,0
50,1137,152000,0
50,1138,160000,0
50,1139,142000,0
50,1140,156000,0
50,1141,153000,0
50,1142,158000,0
50,1143,157000,0
50,1144,160000,0
50,1145,161000,0
50,1146,154000,0
50,1147,157000,0
50,1148,153000,0
50,1149,142000,0
50,1150,158000,0
50,1151,152000,0
50,1152,163000,0
50,1153,159000,0
50,1154,153000,0
50,1155,157000,0
50,1156,155000,0
50,1157,159000,0
50,1158,151000,0
50,1159,158000,0
50,1160,156000,0
50,1161,147000,0
50,1162,159000,0
50,1163,148000,0
50,1164,162000,0
50,1165,152000,0
50,1166,155000,0
50,1167,152000,0
50,1168,158000,0
50,1169,150000,0
50,1170,157000,0
50,1171,153000,0
50,1172,159000,0
50,1173,162000,0
50,1174,156000,0
50,1175,158000,0
50,1176,159000,0
50,1177,156000,0
50,1178,164000,0
50,1179,147000,0
50,1180,148000,0
50,1181,157000,0
50,1182,158000,0
50,1183,152000,0
50,1184,168000,0
50,1185,155000,0
50,1186,159000,0
50,1187,151000,0
50,1188,159000,0
50,1189,158000,0
50,1190,162000,0
50,1191,153000,0
50,1192,153000,0
50,1193,158000,0
50,1194,160000,0
50,1195,151000,0
50,1196,157000,0
50,1197,148000,0
50,1198,148000,0
50,1199,25000,0
50,1200,157000,0
50,1201,154000,0
50,1202,160000,0
50,1203,145000,0
50,1204,151000,0
50,1205,155000,0
50,1206,160000,0
50,1207,168000,0
50,1208,163000,0
50,1209,155000,0
50,1210,150000,0
50,1211,143000,0
50,1212,26000,0
50,1213,144000,0
50,1214,154000,0
50,1215,156000,0
50,1216,156000,0
50,1217,153000,0
50,1218,152000,0
50,1219,141000,0
50,1220,167000,0
50,1221,156000,0
50,1222,161000,0
50,1223,156000,0
50,1224,153000,0
50,1225,155000,0
50,1226,159000,0
50,1227,152000,0
50,1228,146000,0
50,1229,154000,0
50,1230,149000,0
50,1231,153000,0
50,1232,161000,0
50,1233,158000,0
50,1234,154000,0
50,1235,158000,0
50,1236,162000,0
50,1237,151000,0
50,1238,156000,0
50,1239,157000,0
50,1240,160000,0
50,1241,155000,0
50,1242,159000,0
50,1243,144000,0
50,1244,24000,0
50,1245,160000,0
50,1246,155000,0
50,1247,149000,0
50,1248,157000,0
50,1249,145000,0
50,1250,153000,0
50,1251,155000,0
50,1252,149000,0
50,1253,142000,0
50,1254,153000,0
50,1255,158000,0
50,1256,154000,0
50,1257,149000,0
50,1258,161000,0
50,1259,153000,0
50,1260,159000,0
50,1261,145000,0
50,1262,159000,0
50,1263,154000,0
50,1264,162000,0
50,1265,160000,0
50,1266,26000,0
50,1267,155000,0
50,1268,162000,0
50,1269,144000,0
50,1270,152000,0
50,1271,158000,0
50,1272,163000,0
50,1273,149000,0
50,1274,165000,0
50,1275,152000,0
50,1276,29000,0
50,1277,158000,0
50,1278,160000,0
50,1279,165000,0
50,1280,152000,0
50,1281,161000,0
50,1282,156000,0
50,1283,153000,0
50,1284,161000,0
50,1285,149000,0
50,1286,154000,0
50,1287,151000,0
50,1288,155000,0
50,1289,149000,0
50,1290,164000,0
50,1291,144000,0
50,1292,157000,0
50,1293,153000,0
50,1294,160000,0
50,1295,151000,0
50,1296,162000,0
50,1297,149000,0
50,1298,161000,0
50,1299,155000,0
50,1300,157000,0
50,1301,154000,0
50,1302,157000,0
50,1303,159000,0
50,1304,161000,0
50,1305,158000,0
50,1306,156000,0
50,1307,153000,0
50,1308,156000,0
50,1309,146000,0
50,1310,157000,0
50,1311,153000,0
50,1312,157000,0
50,1313,29000,0
50,1314,164000,0
50,1315,144000,0
50,1316,152000,0
50,1317,153000,0
50,1318,166000,0
50,1319,157000,0
50,1320,162000,0
50,1321,156000,0
50,1322,160000,0
