Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1024,0xFFFFFFFF,1000000,Upper,276,0
1024,0xFFFFFFFF,1000000,Lower,278,0
1024,0xFFFFFFFF,500000,Double,5034,0
1024,0x00000000,1000000,Upper,316,0
1024,0x00000000,1000000,Lower,334,0
1024,0x00000000,500000,Double,2567,0
1025,0xFFFFFFFF,1000000,Upper,323,0
1025,0xFFFFFFFF,1000000,Lower,305,0
1025,0xFFFFFFFF,500000,Double,5472,0
1025,0x00000000,1000000,Upper,312,0
1025,0x00000000,1000000,Lower,307,0
1025,0x00000000,500000,Double,2615,0
1026,0xFFFFFFFF,1000000,Upper,249,0
1026,0xFFFFFFFF,1000000,Lower,298,0
1026,0xFFFFFFFF,500000,Double,5133,0
1026,0x00000000,1000000,Upper,317,0
1026,0x00000000,1000000,Lower,286,0
1026,0x00000000,500000,Double,2444,0
1027,0xFFFFFFFF,1000000,Upper,305,0
1027,0xFFFFFFFF,1000000,Lower,310,0
1027,0xFFFFFFFF,500000,Double,5351,0
1027,0x00000000,1000000,Upper,328,0
1027,0x00000000,1000000,Lower,367,0
1027,0x00000000,500000,Double,2638,0
1028,0xFFFFFFFF,1000000,Upper,246,0
1028,0xFFFFFFFF,1000000,Lower,327,0
1028,0xFFFFFFFF,500000,Double,5198,0
1028,0x00000000,1000000,Upper,318,0
1028,0x00000000,1000000,Lower,302,0
1028,0x00000000,500000,Double,2495,0
1029,0xFFFFFFFF,1000000,Upper,289,0
1029,0xFFFFFFFF,1000000,Lower,306,0
1029,0xFFFFFFFF,500000,Double,5243,0
1029,0x00000000,1000000,Upper,343,0
1029,0x00000000,1000000,Lower,364,0
1029,0x00000000,500000,Double,2699,0
1030,0xFFFFFFFF,1000000,Upper,220,0
1030,0xFFFFFFFF,1000000,Lower,300,0
1030,0xFFFFFFFF,500000,Double,5152,0
1030,0x00000000,1000000,Upper,337,0
1030,0x00000000,1000000,Lower,330,0
1030,0x00000000,500000,Double,2591,0
1031,0xFFFFFFFF,1000000,Upper,318,0
1031,0xFFFFFFFF,1000000,Lower,310,0
1031,0xFFFFFFFF,500000,Double,5400,0
1031,0x00000000,1000000,Upper,381,0
1031,0x00000000,1000000,Lower,357,0
1031,0x00000000,500000,Double,2653,0
1032,0xFFFFFFFF,1000000,Upper,276,0
1032,0xFFFFFFFF,1000000,Lower,305,0
1032,0xFFFFFFFF,500000,Double,5246,0
1032,0x00000000,1000000,Upper,319,0
1032,0x00000000,1000000,Lower,297,0
1032,0x00000000,500000,Double,2514,0
1033,0xFFFFFFFF,1000000,Upper,300,0
1033,0xFFFFFFFF,1000000,Lower,320,0
1033,0xFFFFFFFF,500000,Double,5449,0
1033,0x00000000,1000000,Upper,295,0
1033,0x00000000,1000000,Lower,352,0
1033,0x00000000,500000,Double,2557,0
1034,0xFFFFFFFF,1000000,Upper,229,0
1034,0xFFFFFFFF,1000000,Lower,301,0
1034,0xFFFFFFFF,500000,Double,5007,0
1034,0x00000000,1000000,Upper,303,0
1034,0x00000000,1000000,Lower,344,0
1034,0x00000000,500000,Double,2532,0
1035,0xFFFFFFFF,1000000,Upper,321,0
1035,0xFFFFFFFF,1000000,Lower,331,0
