Temp,Vic Row,HC,Itr
50,1024,179000,0
50,1025,181000,0
50,1026,182000,0
50,1027,163000,0
50,1028,166000,0
50,1029,173000,0
50,1030,167000,0
50,1031,165000,0
50,1032,179000,0
50,1033,174000,0
50,1034,176000,0
50,1035,165000,0
50,1036,175000,0
50,1037,186000,0
50,1038,172000,0
50,1039,158000,0
50,1040,173000,0
50,1041,171000,0
50,1042,173000,0
50,1043,158000,0
50,1044,176000,0
50,1045,34000,0
50,1046,164000,0
50,1047,165000,0
50,1048,179000,0
50,1049,179000,0
50,1050,171000,0
50,1051,174000,0
50,1052,173000,0
50,1053,165000,0
50,1054,168000,0
50,1055,172000,0
50,1056,169000,0
50,1057,177000,0
50,1058,25000,0
50,1059,161000,0
50,1060,179000,0
50,1061,182000,0
50,1062,171000,0
50,1063,175000,0
50,1064,177000,0
50,1065,171000,0
50,1066,172000,0
50,1067,163000,0
50,1068,173000,0
50,1069,162000,0
50,1070,165000,0
50,1071,173000,0
50,1072,173000,0
50,1073,173000,0
50,1074,165000,0
50,1075,167000,0
50,1076,177000,0
50,1077,162000,0
50,1078,174000,0
50,1079,156000,0
50,1080,176000,0
50,1081,169000,0
50,1082,169000,0
50,1083,174000,0
50,1084,180000,0
50,1085,174000,0
50,1086,170000,0
50,1087,175000,0
50,1088,175000,0
50,1089,177000,0
50,1090,180000,0
50,1091,180000,0
50,1092,171000,0
50,1093,172000,0
50,1094,31000,0
50,1095,176000,0
50,1096,176000,0
50,1097,168000,0
50,1098,174000,0
50,1099,182000,0
50,1100,175000,0
50,1101,177000,0
50,1102,162000,0
50,1103,166000,0
50,1104,163000,0
50,1105,165000,0
50,1106,159000,0
50,1107,181000,0
50,1108,165000,0
50,1109,164000,0
50,1110,150000,0
50,1111,177000,0
50,1112,173000,0
50,1113,164000,0
50,1114,164000,0
50,1115,168000,0
50,1116,178000,0
50,1117,184000,0
50,1118,175000,0
50,1119,177000,0
50,1120,171000,0
50,1121,177000,0
50,1122,161000,0
50,1123,169000,0
50,1124,165000,0
50,1125,171000,0
50,1126,177000,0
50,1127,173000,0
50,1128,166000,0
50,1129,176000,0
50,1130,178000,0
50,1131,168000,0
50,1132,171000,0
50,1133,176000,0
50,1134,164000,0
50,1135,175000,0
50,1136,173000,0
50,1137,176000,0
50,1138,167000,0
50,1139,178000,0
50,1140,173000,0
50,1141,181000,0
50,1142,180000,0
50,1143,173000,0
50,1144,171000,0
50,1145,178000,0
50,1146,182000,0
50,1147,167000,0
50,1148,173000,0
50,1149,31000,0
50,1150,174000,0
50,1151,182000,0
50,1152,181000,0
50,1153,174000,0
50,1154,166000,0
50,1155,175000,0
50,1156,173000,0
50,1157,185000,0
50,1158,188000,0
50,1159,176000,0
50,1160,170000,0
50,1161,173000,0
50,1162,175000,0
50,1163,159000,0
50,1164,161000,0
50,1165,170000,0
50,1166,168000,0
50,1167,167000,0
50,1168,167000,0
50,1169,175000,0
50,1170,181000,0
50,1171,170000,0
50,1172,164000,0
50,1173,173000,0
50,1174,173000,0
50,1175,178000,0
50,1176,172000,0
50,1177,165000,0
50,1178,172000,0
50,1179,179000,0
50,1180,185000,0
50,1181,173000,0
50,1182,175000,0
50,1183,183000,0
50,1184,180000,0
50,1185,174000,0
50,1186,173000,0
50,1187,173000,0
50,1188,177000,0
50,1189,182000,0
50,1190,185000,0
50,1191,179000,0
50,1192,180000,0
50,1193,187000,0
50,1194,180000,0
50,1195,171000,0
50,1196,180000,0
50,1197,176000,0
50,1198,169000,0
50,1199,173000,0
50,1200,176000,0
50,1201,181000,0
50,1202,158000,0
50,1203,165000,0
50,1204,172000,0
50,1205,176000,0
50,1206,173000,0
50,1207,176000,0
50,1208,177000,0
50,1209,176000,0
50,1210,179000,0
50,1211,170000,0
50,1212,178000,0
50,1213,184000,0
50,1214,169000,0
50,1215,183000,0
50,1216,168000,0
50,1217,179000,0
50,1218,169000,0
50,1219,177000,0
50,1220,173000,0
50,1221,166000,0
50,1222,170000,0
50,1223,175000,0
50,1224,173000,0
50,1225,179000,0
50,1226,175000,0
50,1227,34000,0
50,1228,186000,0
50,1229,187000,0
50,1230,182000,0
50,1231,173000,0
50,1232,172000,0
50,1233,179000,0
50,1234,167000,0
50,1235,163000,0
50,1236,180000,0
50,1237,181000,0
50,1238,170000,0
50,1239,176000,0
50,1240,183000,0
50,1241,177000,0
50,1242,171000,0
50,1243,176000,0
50,1244,183000,0
50,1245,173000,0
50,1246,184000,0
50,1247,177000,0
50,1248,184000,0
50,1249,173000,0
50,1250,173000,0
50,1251,172000,0
50,1252,185000,0
50,1253,169000,0
50,1254,163000,0
50,1255,177000,0
50,1256,177000,0
50,1257,182000,0
50,1258,170000,0
50,1259,176000,0
50,1260,168000,0
50,1261,170000,0
50,1262,180000,0
50,1263,191000,0
50,1264,176000,0
50,1265,186000,0
50,1266,173000,0
50,1267,170000,0
50,1268,193000,0
50,1269,182000,0
50,1270,180000,0
50,1271,182000,0
50,1272,193000,0
50,1273,178000,0
50,1274,177000,0
50,1275,183000,0
50,1276,181000,0
50,1277,170000,0
50,1278,190000,0
50,1279,189000,0
50,1280,185000,0
50,1281,181000,0
50,1282,179000,0
50,1283,177000,0
50,1284,177000,0
50,1285,175000,0
50,1286,176000,0
50,1287,185000,0
50,1288,177000,0
50,1289,180000,0
50,1290,169000,0
50,1291,174000,0
50,1292,188000,0
50,1293,177000,0
50,1294,185000,0
50,1295,174000,0
50,1296,172000,0
50,1297,183000,0
50,1298,174000,0
50,1299,185000,0
50,1300,176000,0
50,1301,179000,0
50,1302,176000,0
50,1303,193000,0
50,1304,178000,0
50,1305,181000,0
50,1306,181000,0
50,1307,28000,0
50,1308,180000,0
50,1309,170000,0
50,1310,181000,0
50,1311,185000,0
50,1312,178000,0
50,1313,168000,0
50,1314,171000,0
50,1315,185000,0
50,1316,181000,0
50,1317,191000,0
50,1318,185000,0
50,1319,195000,0
50,1320,188000,0
50,1321,179000,0
50,1322,167000,0
50,1323,182000,0
50,1324,166000,0
50,1325,193000,0
50,1326,177000,0
50,1327,182000,0
50,1328,175000,0
50,1329,191000,0
50,1330,179000,0
50,1331,187000,0
50,1332,179000,0
50,1333,196000,0
50,1334,178000,0
50,1335,182000,0
50,1336,196000,0
50,1337,186000,0
50,1338,191000,0
50,1339,186000,0
50,1340,186000,0
50,1341,179000,0
50,1342,191000,0
50,1343,174000,0
50,1344,187000,0
50,1345,188000,0
50,1346,189000,0
50,1347,188000,0
50,1348,169000,0
50,1349,193000,0
50,1350,190000,0
50,1351,183000,0
50,1352,183000,0
50,1353,202000,0
50,1354,193000,0
50,1355,182000,0
50,1356,185000,0
50,1357,188000,0
50,1358,184000,0
50,1359,188000,0
50,1360,197000,0
50,1361,195000,0
50,1362,182000,0
50,1363,193000,0
50,1364,191000,0
50,1365,189000,0
50,1366,184000,0
50,1367,188000,0
50,1368,198000,0
50,1369,194000,0
50,1370,180000,0
50,1371,185000,0
50,1372,192000,0
50,1373,188000,0
50,1374,179000,0
50,1375,198000,0
50,1376,199000,0
50,1377,196000,0
50,1378,181000,0
50,1379,194000,0
50,1380,187000,0
50,1381,197000,0
50,1382,182000,0
50,1383,194000,0
50,1384,187000,0
50,1385,199000,0
50,1386,202000,0
50,1387,192000,0
50,1388,182000,0
50,1389,194000,0
50,1390,30000,0
50,1391,192000,0
50,1392,186000,0
50,1393,200000,0
50,1394,183000,0
50,1395,197000,0
50,1396,182000,0
50,1397,210000,0
50,1398,198000,0
50,1399,190000,0
50,1400,179000,0
50,1401,203000,0
50,1402,192000,0
50,1403,202000,0
50,1404,206000,0
50,1405,208000,0
50,1406,200000,0
50,1409,219000,0
50,1410,198000,0
50,1411,203000,0
50,1412,193000,0
50,1413,210000,0
50,1414,188000,0
50,1415,191000,0
50,1416,28000,0
50,1417,193000,0
