Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1024,0xFFFFFFFF,1000000,Upper,946,0
1024,0xFFFFFFFF,1000000,Lower,0,0
1024,0xFFFFFFFF,500000,Double,830,0
1024,0x00000000,1000000,Upper,1026,0
1024,0x00000000,1000000,Lower,0,0
1024,0x00000000,500000,Double,861,0
1025,0xFFFFFFFF,1000000,Upper,0,0
1025,0xFFFFFFFF,1000000,Lower,844,0
1025,0xFFFFFFFF,500000,Double,738,0
1025,0x00000000,1000000,Upper,0,0
1025,0x00000000,1000000,Lower,734,0
1025,0x00000000,500000,Double,668,0
1026,0xFFFFFFFF,1000000,Upper,627,0
1026,0xFFFFFFFF,1000000,Lower,0,0
1026,0xFFFFFFFF,500000,Double,569,0
1026,0x00000000,1000000,Upper,698,0
1026,0x00000000,1000000,Lower,0,0
1026,0x00000000,500000,Double,553,0
1027,0xFFFFFFFF,1000000,Upper,1349,0
1027,0xFFFFFFFF,1000000,Lower,1082,0
1027,0xFFFFFFFF,500000,Double,19842,0
1027,0x00000000,1000000,Upper,1248,0
1027,0x00000000,1000000,Lower,1073,0
1027,0x00000000,500000,Double,9308,0
1028,0xFFFFFFFF,1000000,Upper,719,0
1028,0xFFFFFFFF,1000000,Lower,611,0
1028,0xFFFFFFFF,500000,Double,17378,0
1028,0x00000000,1000000,Upper,729,0
1028,0x00000000,1000000,Lower,704,0
1028,0x00000000,500000,Double,9067,0
1029,0xFFFFFFFF,1000000,Upper,1211,0
1029,0xFFFFFFFF,1000000,Lower,969,0
1029,0xFFFFFFFF,500000,Double,19284,0
1029,0x00000000,1000000,Upper,1029,0
1029,0x00000000,1000000,Lower,897,0
1029,0x00000000,500000,Double,9030,0
1030,0xFFFFFFFF,1000000,Upper,818,0
1030,0xFFFFFFFF,1000000,Lower,786,0
1030,0xFFFFFFFF,500000,Double,18083,0
1030,0x00000000,1000000,Upper,852,0
1030,0x00000000,1000000,Lower,879,0
1030,0x00000000,500000,Double,9121,0
1031,0xFFFFFFFF,1000000,Upper,1128,0
1031,0xFFFFFFFF,1000000,Lower,858,0
1031,0xFFFFFFFF,500000,Double,18467,0
1031,0x00000000,1000000,Upper,1014,0
1031,0x00000000,1000000,Lower,826,0
1031,0x00000000,500000,Double,8558,0
1032,0xFFFFFFFF,1000000,Upper,969,0
1032,0xFFFFFFFF,1000000,Lower,881,0
1032,0xFFFFFFFF,500000,Double,18483,0
1032,0x00000000,1000000,Upper,869,0
1032,0x00000000,1000000,Lower,943,0
1032,0x00000000,500000,Double,9589,0
1033,0xFFFFFFFF,1000000,Upper,967,0
1033,0xFFFFFFFF,1000000,Lower,876,0
1033,0xFFFFFFFF,500000,Double,18212,0
1033,0x00000000,1000000,Upper,936,0
1033,0x00000000,1000000,Lower,769,0
1033,0x00000000,500000,Double,8629,0
1034,0xFFFFFFFF,1000000,Upper,956,0
1034,0xFFFFFFFF,1000000,Lower,838,0
1034,0xFFFFFFFF,500000,Double,18591,0
1034,0x00000000,1000000,Upper,869,0
1034,0x00000000,1000000,Lower,966,0
1034,0x00000000,500000,Double,9197,0
1035,0xFFFFFFFF,1000000,Upper,1079,0
1035,0xFFFFFFFF,1000000,Lower,823,0
1035,0xFFFFFFFF,500000,Double,18218,0
1035,0x00000000,1000000,Upper,967,0
1035,0x00000000,1000000,Lower,769,0
1035,0x00000000,500000,Double,8775,0
1036,0xFFFFFFFF,1000000,Upper,953,0
1036,0xFFFFFFFF,1000000,Lower,935,0
1036,0xFFFFFFFF,500000,Double,18459,0
1036,0x00000000,1000000,Upper,880,0
1036,0x00000000,1000000,Lower,949,0
1036,0x00000000,500000,Double,9270,0
1037,0xFFFFFFFF,1000000,Upper,991,0
1037,0xFFFFFFFF,1000000,Lower,799,0
1037,0xFFFFFFFF,500000,Double,18055,0
1037,0x00000000,1000000,Upper,928,0
1037,0x00000000,1000000,Lower,771,0
1037,0x00000000,500000,Double,8784,0
1038,0xFFFFFFFF,1000000,Upper,962,0
1038,0xFFFFFFFF,1000000,Lower,951,0
1038,0xFFFFFFFF,500000,Double,18911,0
1038,0x00000000,1000000,Upper,957,0
1038,0x00000000,1000000,Lower,1067,0
1038,0x00000000,500000,Double,9508,0
1039,0xFFFFFFFF,1000000,Upper,965,0
1039,0xFFFFFFFF,1000000,Lower,750,0
1039,0xFFFFFFFF,500000,Double,17929,0
1039,0x00000000,1000000,Upper,940,0
1039,0x00000000,1000000,Lower,747,0
1039,0x00000000,500000,Double,8537,0
1040,0xFFFFFFFF,1000000,Upper,997,0
1040,0xFFFFFFFF,1000000,Lower,1010,0
1040,0xFFFFFFFF,500000,Double,18687,0
1040,0x00000000,1000000,Upper,928,0
1040,0x00000000,1000000,Lower,1046,0
1040,0x00000000,500000,Double,9539,0
1041,0xFFFFFFFF,1000000,Upper,953,0
1041,0xFFFFFFFF,1000000,Lower,737,0
1041,0xFFFFFFFF,500000,Double,17753,0
1041,0x00000000,1000000,Upper,941,0
1041,0x00000000,1000000,Lower,749,0
1041,0x00000000,500000,Double,8438,0
1042,0xFFFFFFFF,1000000,Upper,1017,0
1042,0xFFFFFFFF,1000000,Lower,998,0
1042,0xFFFFFFFF,500000,Double,18653,0
1042,0x00000000,1000000,Upper,943,0
1042,0x00000000,1000000,Lower,1025,0
1042,0x00000000,500000,Double,9543,0
1043,0xFFFFFFFF,1000000,Upper,894,0
1043,0xFFFFFFFF,1000000,Lower,729,0
1043,0xFFFFFFFF,500000,Double,17484,0
1043,0x00000000,1000000,Upper,893,0
1043,0x00000000,1000000,Lower,730,0
1043,0x00000000,500000,Double,8468,0
1044,0xFFFFFFFF,1000000,Upper,1013,0
1044,0xFFFFFFFF,1000000,Lower,1046,0
1044,0xFFFFFFFF,500000,Double,18968,0
1044,0x00000000,1000000,Upper,920,0
1044,0x00000000,1000000,Lower,1067,0
1044,0x00000000,500000,Double,9451,0
1045,0xFFFFFFFF,1000000,Upper,953,0
1045,0xFFFFFFFF,1000000,Lower,680,0
1045,0xFFFFFFFF,500000,Double,17965,0
1045,0x00000000,1000000,Upper,802,0
1045,0x00000000,1000000,Lower,678,0
1045,0x00000000,500000,Double,8288,0
