Vic Row,Data Pattern,HC,Aggr. Type,Num. Bitflips,Itr
1024,0xFFFFFFFF,7500,Upper,746,0
1024,0xFFFFFFFF,7500,Lower,1017,0
1024,0x00000000,7500,Upper,0,0
1024,0x00000000,7500,Lower,0,0
1025,0xFFFFFFFF,7500,Upper,1025,0
1025,0xFFFFFFFF,7500,Lower,579,0
1025,0x00000000,7500,Upper,0,0
1025,0x00000000,7500,Lower,0,0
1026,0xFFFFFFFF,7500,Upper,646,0
1026,0xFFFFFFFF,7500,Lower,1058,0
1026,0x00000000,7500,Upper,0,0
1026,0x00000000,7500,Lower,0,0
1027,0xFFFFFFFF,7500,Upper,1123,0
1027,0xFFFFFFFF,7500,Lower,578,0
1027,0x00000000,7500,Upper,0,0
1027,0x00000000,7500,Lower,0,0
1028,0xFFFFFFFF,7500,Upper,645,0
1028,0xFFFFFFFF,7500,Lower,1059,0
1028,0x00000000,7500,Upper,0,0
1028,0x00000000,7500,Lower,0,0
1029,0xFFFFFFFF,7500,Upper,1156,0
1029,0xFFFFFFFF,7500,Lower,582,0
1029,0x00000000,7500,Upper,0,0
1029,0x00000000,7500,Lower,0,0
1030,0xFFFFFFFF,7500,Upper,661,0
1030,0xFFFFFFFF,7500,Lower,1033,0
1030,0x00000000,7500,Upper,0,0
1030,0x00000000,7500,Lower,0,0
1031,0xFFFFFFFF,7500,Upper,1121,0
1031,0xFFFFFFFF,7500,Lower,526,0
1031,0x00000000,7500,Upper,0,0
1031,0x00000000,7500,Lower,0,0
1032,0xFFFFFFFF,7500,Upper,669,0
1032,0xFFFFFFFF,7500,Lower,1132,0
1032,0x00000000,7500,Upper,0,0
1032,0x00000000,7500,Lower,0,0
1033,0xFFFFFFFF,7500,Upper,990,0
1033,0xFFFFFFFF,7500,Lower,590,0
1033,0x00000000,7500,Upper,0,0
1033,0x00000000,7500,Lower,0,0
1034,0xFFFFFFFF,7500,Upper,651,0
1034,0xFFFFFFFF,7500,Lower,1028,0
1034,0x00000000,7500,Upper,0,0
1034,0x00000000,7500,Lower,0,0
1035,0xFFFFFFFF,7500,Upper,1095,0
1035,0xFFFFFFFF,7500,Lower,536,0
1035,0x00000000,7500,Upper,0,0
1035,0x00000000,7500,Lower,0,0
1036,0xFFFFFFFF,7500,Upper,647,0
1036,0xFFFFFFFF,7500,Lower,1116,0
1036,0x00000000,7500,Upper,0,0
1036,0x00000000,7500,Lower,0,0
1037,0xFFFFFFFF,7500,Upper,1102,0
1037,0xFFFFFFFF,7500,Lower,553,0
1037,0x00000000,7500,Upper,0,0
